st_fips,st_year,st_state,st_stateabb,st_total,st_dem,st_rep,st_repshare,st_demshare,st_income,st_inc10k
30,1976,Montana,MT,329,149,174,0.538699687,0.461300313,17071.49219,1.707149267
31,1976,Nebraska,NE,608,234,360,0.606060624,0.393939406,17749.82813,1.77498281
32,1976,Nevada,NV,202,92,101,0.523316085,0.476683944,21356.59961,2.135659933
33,1976,New Hampshire,NH,340,148,186,0.556886256,0.443113774,17247.96875,1.724796891
34,1976,New Jersey,NJ,3014,1445,1510,0.510998309,0.489001691,21243.54297,2.124354362
35,1976,New Mexico,NM,417,201,211,0.512135923,0.487864077,15229.50195,1.522950172
36,1976,New York,NY,6525,3390,3101,0.47773841,0.52226162,20603.81055,2.060380936
37,1976,North Carolina,NC,1678,927,742,0.444577605,0.555422425,15383.9209,1.538392067
38,1976,North Dakota,ND,297,136,153,0.529411793,0.470588237,17049.43164,1.70494318
39,1976,Ohio,OH,4112,2012,2001,0.498629451,0.501370549,18612.91602,1.861291647
40,1976,Oklahoma,OK,1092,532,546,0.506493509,0.493506491,16484.15039,1.648415089
41,1976,Oregon,OR,1030,490,492,0.501018345,0.498981684,19034.81055,1.903481007
42,1976,Pennsylvania,PA,4621,2329,2206,0.486438811,0.513561189,18748.0332,1.874803305
44,1976,Rhode Island,RI,411,228,181,0.442542791,0.557457209,17669.86328,1.76698637
45,1976,South Carolina,SC,803,451,346,0.434127986,0.565872014,14493.25781,1.4493258
46,1976,South Dakota,SD,301,147,152,0.50836122,0.491638809,15403.22266,1.540322304
47,1976,Tennessee,TN,1476,826,634,0.43424657,0.5657534,15353.58789,1.535358787
48,1976,Texas,TX,4072,2082,1953,0.484014869,0.515985131,17523.7168,1.752371669
49,1976,Utah,UT,541,182,338,0.649999976,0.349999994,15883.02246,1.588302255
50,1976,Vermont,VT,188,81,102,0.55737704,0.44262296,15833.3877,1.583338737
51,1976,Virginia,VA,1697,814,837,0.506965458,0.493034512,18061.42383,1.80614233
53,1976,Washington,WA,1556,717,778,0.520401359,0.479598671,19782.08398,1.978208423
54,1976,West Virginia,WV,751,436,315,0.419440746,0.580559254,15080.59863,1.508059859
55,1976,Wisconsin,WI,2101,1040,1005,0.491442531,0.508557439,18408.86328,1.840886354
56,1976,Wyoming,WY,156,62,93,0.600000024,0.400000006,19919.95703,1.991995692
1,1980,Alabama,AL,1342,637,654,0.506584048,0.493415952,14920.73242,1.492073298
2,1980,Alaska,AK,158,42,86,0.671875,0.328125,28306.74023,2.830673933
4,1980,Arizona,AZ,874,247,530,0.682110667,0.317889333,18134.89844,1.813489795
5,1980,Arkansas,AR,838,398,403,0.503121078,0.496878892,14326.64551,1.432664514
6,1980,California,CA,8587,3084,4525,0.594690502,0.405309498,22756.21289,2.275621176
8,1980,Colorado,CO,1184,368,652,0.639215708,0.360784322,20461.74023,2.046174049
9,1980,Connecticut,CT,1406,542,677,0.555373251,0.444626749,23529.28711,2.352928638
10,1980,Delaware,DE,236,106,111,0.511520743,0.488479257,20465.54883,2.046554804
12,1980,Florida,FL,3687,1419,2047,0.590594351,0.409405649,18913.68555,1.891368508
13,1980,Georgia,GA,1597,891,654,0.423300982,0.576699018,16032.74219,1.603274226
